Participant_ID,Age,Gender,StudyPreference,Emotion,Exam1,Exam2,Correct_NoTimer,Incorrect_NoTimer,Correct_Timer,Incorrect_Timer,AverageRT_NoTimer,AverageRT_Timer
1,20,Male ,Unsure ,Avoidant,56,28,20,0,19,1,0.8394,0.7902
2,21,Male ,Sometime,Neutral,40,10,20,0,20,0,0.8017,0.646
3,20,Male ,NoTimer,Stressed,31.6,48,19,1,20,0,1.7207,1.1968
4,19,Male ,NoTimer,Stressed,75,50,20,0,19,1,1.3308,1.5205
5,23,Female,NoTimer,Motivated,72,83,20,0,20,0,1.039681,1.01614
6,20,Female,Timer,Neutral,93,95,20,0,20,0,1.22575,1.04521
7,19,Female,Timer,Motivated,89,84,19,1,19,1,1.1091,1.144
8,19,Female,Timer,Stressed,97,89,19,1,19,1,1.0338,1.1253
9,20,Female,Sometime,Motivated,95,77.7,19,1,18,1,0.9531,1.116699
10,20,Female,Unsure ,Avoidant,86.6,80,19,1,17,3,0.9408,0.97388
11,20,Female,NoTimer,Avoidant,56,50,20,0,20,0,0.6091,0.66055
12,19,Female,Timer,Stressed,95,92,19,1,15,5,1.07452,1.08955
13,20,Female,Timer,Motivated,91.6,96.8,19,1,19,1,1.01763,0.9684
14,19,Female,Sometime,Stressed,62,73.3,20,0,18,2,1.18352,1.19848
15,20,Male ,NoTimer,Neutral,50,66.6,19,0,19,0,1.15868,1.02098
16,20,Male ,NoTimer,Neutral,58,70,20,0,18,2,1.1466208,1.0634013
17,21,Male ,Unsure ,Stressed,50,90,19,1,17,3,1.877207,1.631261
18,25,Male ,NoTimer,Stressed,75,92,20,1,18,2,1.405392,1.180277
19,21,Male ,Unsure ,Stressed,47.5,40,20,0,14,6,2.29473,1.59535495
20,20,Female,NoTimer,Stressed,87.5,72.5,19,1,17,3,1.0836601,1.0997189
21,20,Male ,Unsure ,Motivated,65,95,20,0,20,0,1.198,1.1221
22,21,Female,NoTimer,Stressed,63.3,100,20,0,20,0,1.2681,1.2052
23,35,Male ,Unsure ,Motivated,100,90,20,0,20,0,0.8837,0.8191
24,20,Female,NoTimer,Stressed,100,85,17,3,19,1,1.3282,1.1935
25,20,Female,Sometime,Stressed,50,47,20,0,19,1,1.0896,0.9457
26,21,Male ,NoTimer,Avoidant,41,60,8,12,8,12,0.92298,0.7927
27,58,Female,Timer,Motivated,76.6,90,20,0,19,1,1.2373,1.2213
28,25,Male ,NoTimer,Stressed,40,35,19,1,20,0,1.1719,0.9457
29,19,Male ,Timer,Avoidant,80.5,87,20,0,20,0,1.1636,0.9803
30,21,Male ,NoTimer,Stressed,84,82,19,1,20,0,1.16364,0.857
31,20,Male,Timer,Stressed,70,65,20,0,20,0,1.338783,0.984768
32,20,Female,Sometime,Stressed,40,76,19,0,20,0,1.13386,0.867389
33,20,Male,Timer,Avoidant,40,95,19,0,20,0,1.1091,1.144
34,58,Female,Sometime,Neutral,89,76,19,3,15,1,1.877207,0.9803
35,25,Female,NoTimer,Stressed,100,100,20,0,15,0,1.2681,1.180277
36,58,Female,NoTimer,Stressed,91.6,47,20,0,20,0,1.877207,1.144
37,25,Male,Sometime,Stressed,86.6,96.8,8,0,20,1,1.15868,1.01614
38,20,Male,Timer,Stressed,91.6,73.3,19,0,19,1,0.8017,1.19848
39,25,Male,Sometime,Motivated,40,76,19,0,19,1,0.9531,1.1253
40,19,Male,NoTimer,Neutral,84,50,20,12,15,0,1.039681,1.02098
41,25,Female,NoTimer,Neutral,65,77.7,20,0,14,12,0.9531,1.1253
42,19,Male,NoTimer,Stressed,93,60,19,1,8,0,1.15868,1.1935
43,20,Female,NoTimer,Neutral,50,96.8,19,1,19,3,1.2681,1.631261
44,19,Male,Sometime,Avoidant,87.5,77.7,19,1,19,0,1.1636,0.9803
45,19,Female,Timer,Neutral,84,100,20,0,18,5,1.877207,1.08955
