Participant_ID,Age,Gender,StudyPreference,Emotion,Exam1,Exam2,Task_Type,Trial_Number,Colour,Condition,CorrectAns,Word,KeyPressed,Correct,RT
P01,20,Male,Unsure,Avoidant,56,28,NoTimer,1,red,incongruent,r,Green,r,1,1.027731
P01,20,Male,Unsure,Avoidant,56,28,NoTimer,2,blue,incongruent,b,Yellow,b,1,0.963247
P01,20,Male,Unsure,Avoidant,56,28,NoTimer,3,red,congruent,r,Red,r,1,0.630608
P01,20,Male,Unsure,Avoidant,56,28,NoTimer,4,yellow,congruent,y,Yellow,y,1,0.678727
P01,20,Male,Unsure,Avoidant,56,28,NoTimer,5,red,congruent,r,Red,r,1,0.656251
P01,20,Male,Unsure,Avoidant,56,28,NoTimer,6,green,congruent,g,Green,g,1,0.672872
P01,20,Male,Unsure,Avoidant,56,28,NoTimer,7,blue,congruent,b,Blue,b,1,0.796774
P01,20,Male,Unsure,Avoidant,56,28,NoTimer,8,green,incongruent,g,Blue,g,1,1.274073
P01,20,Male,Unsure,Avoidant,56,28,NoTimer,9,green,congruent,g,Green,g,1,0.577909
P01,20,Male,Unsure,Avoidant,56,28,NoTimer,10,yellow,incongruent,y,Red,y,1,0.759855
P01,20,Male,Unsure,Avoidant,56,28,NoTimer,11,red,incongruent,r,Blue,r,1,0.816547
P01,20,Male,Unsure,Avoidant,56,28,NoTimer,12,blue,incongruent,b,Green,b,1,0.73199
P01,20,Male,Unsure,Avoidant,56,28,NoTimer,13,yellow,congruent,y,Yellow,y,1,0.708303
P01,20,Male,Unsure,Avoidant,56,28,NoTimer,14,green,incongruent,g,Red,g,1,1.182345
P01,20,Male,Unsure,Avoidant,56,28,NoTimer,15,yellow,incongruent,y,Blue,y,1,0.707899
P01,20,Male,Unsure,Avoidant,56,28,NoTimer,16,blue,incongruent,b,Red,b,1,1.084807
P01,20,Male,Unsure,Avoidant,56,28,NoTimer,17,green,incongruent,g,Yellow,g,1,0.955219
P01,20,Male,Unsure,Avoidant,56,28,NoTimer,18,red,incongruent,r,Yellow,r,1,1.002773
P01,20,Male,Unsure,Avoidant,56,28,NoTimer,19,yellow,incongruent,y,Green,y,1,0.773539
P01,20,Male,Unsure,Avoidant,56,28,NoTimer,20,blue,congruent,b,Blue,b,1,0.786828
P01,20,Male,Unsure,Avoidant,56,28,Timer,1,yellow,incongruent,y,Green,y,1,0.834711
P01,20,Male,Unsure,Avoidant,56,28,Timer,2,blue,congruent,b,Blue,b,1,1.083147
P01,20,Male,Unsure,Avoidant,56,28,Timer,3,red,congruent,r,Red,r,1,0.914287
P01,20,Male,Unsure,Avoidant,56,28,Timer,4,red,incongruent,r,Blue,r,1,0.482001
P01,20,Male,Unsure,Avoidant,56,28,Timer,5,yellow,incongruent,y,Red,y,1,0.548303
P01,20,Male,Unsure,Avoidant,56,28,Timer,6,red,incongruent,r,Green,r,1,0.541991
P01,20,Male,Unsure,Avoidant,56,28,Timer,7,green,incongruent,g,Red,g,1,0.703871
P01,20,Male,Unsure,Avoidant,56,28,Timer,8,green,congruent,g,Green,g,1,0.516884
P01,20,Male,Unsure,Avoidant,56,28,Timer,9,blue,incongruent,b,Yellow,b,1,0.721976
P01,20,Male,Unsure,Avoidant,56,28,Timer,10,yellow,incongruent,y,Blue,y,1,0.656147
P01,20,Male,Unsure,Avoidant,56,28,Timer,11,yellow,congruent,y,Yellow,y,1,0.435194
P01,20,Male,Unsure,Avoidant,56,28,Timer,12,blue,congruent,b,Blue,g,0,0.913832
P01,20,Male,Unsure,Avoidant,56,28,Timer,13,blue,incongruent,b,Green,b,1,1.454617
P01,20,Male,Unsure,Avoidant,56,28,Timer,14,red,incongruent,r,Yellow,r,1,0.843396
P01,20,Male,Unsure,Avoidant,56,28,Timer,15,blue,incongruent,b,Red,b,1,1.415613
P01,20,Male,Unsure,Avoidant,56,28,Timer,16,red,congruent,r,Red,r,1,0.634803
P01,20,Male,Unsure,Avoidant,56,28,Timer,17,green,incongruent,g,Yellow,g,1,1.019071
P01,20,Male,Unsure,Avoidant,56,28,Timer,18,yellow,congruent,y,Yellow,y,1,0.52358
P01,20,Male,Unsure,Avoidant,56,28,Timer,19,green,incongruent,g,Blue,g,1,1.054795
P01,20,Male,Unsure,Avoidant,56,28,Timer,20,green,congruent,g,Green,g,1,0.506971
P02,21,Male,Unsure,Neutral,40,10,NoTimer,1,green,incongruent,g,Yellow,g,1,0.855512
P02,21,Male,Unsure,Neutral,40,10,NoTimer,2,red,incongruent,r,Yellow,r,1,1.221913
P02,21,Male,Unsure,Neutral,40,10,NoTimer,3,yellow,incongruent,y,Green,y,1,0.680802
P02,21,Male,Unsure,Neutral,40,10,NoTimer,4,blue,incongruent,b,Green,b,1,0.716079
P02,21,Male,Unsure,Neutral,40,10,NoTimer,5,yellow,incongruent,y,Blue,y,1,1.024639
P02,21,Male,Unsure,Neutral,40,10,NoTimer,6,red,congruent,r,Red,r,1,0.521964
P02,21,Male,Unsure,Neutral,40,10,NoTimer,7,blue,incongruent,b,Red,b,1,0.822333
P02,21,Male,Unsure,Neutral,40,10,NoTimer,8,yellow,incongruent,y,Red,y,1,0.714066
P02,21,Male,Unsure,Neutral,40,10,NoTimer,9,red,incongruent,r,Blue,r,1,0.75269
P02,21,Male,Unsure,Neutral,40,10,NoTimer,10,blue,congruent,b,Blue,b,1,0.837257
P02,21,Male,Unsure,Neutral,40,10,NoTimer,11,yellow,congruent,y,Yellow,y,1,0.698077
P02,21,Male,Unsure,Neutral,40,10,NoTimer,12,yellow,congruent,y,Yellow,y,1,1.180994
P02,21,Male,Unsure,Neutral,40,10,NoTimer,13,blue,congruent,b,Blue,b,1,0.957175
P02,21,Male,Unsure,Neutral,40,10,NoTimer,14,red,incongruent,r,Green,r,1,0.86791
P02,21,Male,Unsure,Neutral,40,10,NoTimer,15,green,incongruent,g,Blue,g,1,0.886075
P02,21,Male,Unsure,Neutral,40,10,NoTimer,16,green,incongruent,g,Red,g,1,0.75271
P02,21,Male,Unsure,Neutral,40,10,NoTimer,17,green,congruent,g,Green,g,1,0.491092
P02,21,Male,Unsure,Neutral,40,10,NoTimer,18,blue,incongruent,b,Yellow,b,1,0.745312
P02,21,Male,Unsure,Neutral,40,10,NoTimer,19,green,congruent,g,Green,g,1,0.717349
P02,21,Male,Unsure,Neutral,40,10,NoTimer,20,red,congruent,r,Red,r,1,0.591588
P02,21,Male,Unsure,Neutral,40,10,Timer,1,blue,incongruent,b,Yellow,b,1,0.732957
P02,21,Male,Unsure,Neutral,40,10,Timer,2,green,congruent,g,Green,g,1,0.663009
