Word,Colour,Condition,Correctans
Yellow,green,incongruent,g
Blue,green,incongruent,g
Blue,yellow,incongruent,y
Yellow,blue,incongruent,b
Blue,blue,congruent,b
Blue,blue,congruent,b
Green,green,congruent,g
Red,blue,incongruent,b
Red,red,congruent,r
Red,yellow,incongruent,y
Green,yellow,incongruent,y
Yellow,yellow,congruent,y
Red,red,congruent,r
Green,red,incongruent,r
Green,green,congruent,g
Green,blue,incongruent,b
Yellow,yellow,congruent,y
Yellow,red,incongruent,r
Blue,red,incongruent,r
Red,green,incongruent,g
