Participant_ID,Age,Gender,StudyPreference,Emotion,Exam1,Exam2,Correct_NoTimer,Incorrect_NoTimer,Correct_Timer,Incorrect_Timer,AverageRT_NoTimer,AverageRT_Timer
mostlyaa-55fc-4452-8746-52de47189a4c,20,Male,Timer,Avoidant,40.0,95.0,19,0,20,0,1.1091,1.144
mostlye1-6609-4ade-86d9-8c589b84ac80,58,Female,Sometime,Neutral,89.0,76.0,19,3,15,1,1.877207,0.9803
mostly45-3aa6-4460-ad55-250a074c641d,25,Female,NoTimer,Stressed,100.0,100.0,20,0,15,0,1.2681,1.180277
mostly97-b6a9-42e7-bf5d-0aa577401699,58,Female,NoTimer,Stressed,91.6,47.0,20,0,20,0,1.877207,1.144
mostlyaf-c35a-49c4-974f-52e858511c84,25,Male,Sometime,Stressed,86.6,96.8,8,0,20,1,1.15868,1.01614
mostlye6-ba87-4baf-8523-e7a5f44df508,20,Male,Timer,Stressed,91.6,73.3,19,0,19,1,0.8017,1.19848
mostlyef-5472-472f-8a43-e66a2b5e9e0a,25,Male,Sometime,Motivated,40.0,76.0,19,0,19,1,0.9531,1.1253
mostly2b-2d5c-48d1-8256-2c05171ccb40,19,Male,NoTimer,Neutral,84.0,50.0,20,12,15,0,1.039681,1.02098
mostly4a-f672-464e-9ae6-91a87092d858,25,Female,NoTimer,Neutral,65.0,77.7,20,0,14,12,0.9531,1.1253
mostly8d-a18e-4d90-91eb-7c66046265fd,19,Male,NoTimer,Stressed,93.0,60.0,19,1,8,0,1.15868,1.1935
mostly27-fa0e-468c-9df3-6a4a44a2cc5a,20,Female,NoTimer,Neutral,50.0,96.8,19,1,19,3,1.2681,1.631261
mostlye8-550e-4b31-87d4-921c57574c75,19,Male,Sometime,Avoidant,87.5,77.7,19,1,19,0,1.1636,0.9803
mostlyfa-f8a1-4b8f-b758-3650336d96f5,19,Female,Timer,Neutral,84.0,100.0,20,0,18,5,1.877207,1.08955
mostly65-dedc-4c57-872b-5f07c415ec44,21,Male,NoTimer,Avoidant,75.0,50.0,20,0,20,1,2.29473,0.9803
mostly6b-25be-4767-b6b8-1b7f62c012d0,20,Male,Timer,Neutral,63.3,92.0,19,0,19,12,1.3308,1.2213
mostly4f-3231-453f-a391-bf92f1deea12,20,Female,NoTimer,Stressed,100.0,82.0,19,1,17,0,1.1091,1.2213
